# 2014.07.05
# S.Rodney 
# Table of HST ACS-WFC Zero points, collected from the web tool :
#    http://www.stsci.edu/hst/acs/analysis/zeropoints/zpt.py
# MJD       FILTER        PHOTPLAM       PHOTFLAM       STMAG       VEGAMAG     ABMAG
54832     F658N         6584.0         2.006e-18      23.144      22.368      22.744
54832     F660N         6599.4         5.307e-18      22.088      21.403      21.682
54832     F775W         7693.8         1.012e-19      26.387      25.260      25.648
54832     F814W         8059.8         7.094e-20      26.773      25.510      25.933
54832     F850LP        9033.9         1.538e-19      25.932      24.326      24.845
54832     F892N         8914.8         1.517e-18      23.448      21.900      22.389
55197     F435W         4327.3         3.149e-19      25.155      25.767      25.665
55197     F475W         4745.6         1.827e-19      25.746      26.154      26.056
55197     F502N         5023.0         5.252e-18      22.099      22.370      22.286
55197     F550M         5581.5         3.984e-19      24.899      24.833      24.857
55197     F555W         5360.8         1.968e-19      25.665      25.717      25.711
55197     F606W         5921.8         7.844e-20      26.664      26.407      26.493
55197     F625W         6312.1         1.193e-19      26.208      25.736      25.899
55197     F658N         6584.0         1.981e-18      23.158      22.382      22.757
55197     F660N         6599.4         5.240e-18      22.102      21.417      21.696
55197     F775W         7693.7         9.994e-20      26.401      25.274      25.662
55197     F814W         8059.3         7.007e-20      26.786      25.523      25.947
55197     F850LP        9033.6         1.521e-19      25.944      24.338      24.857
55197     F892N         8914.8         1.500e-18      23.460      21.912      22.401
56293     F435W         4327.3         3.149e-19      25.155      25.767      25.665
56293     F475W         4745.6         1.827e-19      25.746      26.154      26.056
56293     F502N         5023.0         5.252e-18      22.099      22.370      22.286
56293     F550M         5581.5         3.984e-19      24.899      24.833      24.857
56293     F555W         5360.8         1.968e-19      25.665      25.717      25.711
56293     F606W         5921.8         7.844e-20      26.664      26.407      26.493
56293     F625W         6312.1         1.193e-19      26.208      25.736      25.899
56293     F658N         6584.0         1.981e-18      23.158      22.382      22.757
56293     F660N         6599.4         5.240e-18      22.102      21.417      21.696
56293     F775W         7693.7         9.994e-20      26.401      25.274      25.662
56293     F814W         8059.3         7.007e-20      26.786      25.523      25.947
56293     F850LP        9033.6         1.521e-19      25.944      24.338      24.857
56293     F892N         8914.8         1.500e-18      23.460      21.912      22.401
58849     F435W         4327.3         3.149e-19      25.155      25.767      25.665
58849     F475W         4745.6         1.827e-19      25.746      26.154      26.056
58849     F502N         5023.0         5.252e-18      22.099      22.370      22.286
58849     F550M         5581.5         3.984e-19      24.899      24.833      24.857
58849     F555W         5360.8         1.968e-19      25.665      25.717      25.711
58849     F606W         5921.8         7.844e-20      26.664      26.407      26.493
58849     F625W         6312.1         1.193e-19      26.208      25.736      25.899
58849     F658N         6584.0         1.981e-18      23.158      22.382      22.757
58849     F660N         6599.4         5.240e-18      22.102      21.417      21.696
58849     F775W         7693.7         9.994e-20      26.401      25.274      25.662
58849     F814W         8059.3         7.007e-20      26.786      25.523      25.947
58849     F850LP        9033.6         1.521e-19      25.944      24.338      24.857
58849     F892N         8914.8         1.500e-18      23.460      21.912      22.401
